model_id,tokenizer_type,vocab_size,special_tokens,word_boundary_strategy,byte_fallback_or_byte_level,avg_tokens_per_english_word,avg_tokens_per_hebrew_word
meta-llama/Llama-3.1-8B-Instruct,PreTrainedTokenizerFast,128256,2,space_prefix (Ġ),False,1.29,5.77
mistralai/Mistral-7B-Instruct-v0.3,LlamaTokenizerFast,32768,3,space_prefix (▁),True,1.49,5.97
Qwen/Qwen2.5-7B-Instruct,Qwen2TokenizerFast,151665,14,space_prefix (Ġ),False,1.33,2.58
allenai/OLMo-2-1124-7B-Instruct,GPT2TokenizerFast,100278,2,space_prefix (Ġ),False,1.3,5.78
ibm-granite/granite-3.3-8b-instruct,GPT2TokenizerFast,49159,8,space_prefix (Ġ),False,1.76,5.28
deepseek-ai/DeepSeek-V3,LlamaTokenizerFast,128815,2,space_prefix (Ġ),False,1.28,2.86
HuggingFaceTB/SmolLM2-1.7B-Instruct,GPT2TokenizerFast,49152,3,space_prefix (Ġ),False,1.33,6.39
microsoft/Phi-4-mini-instruct,GPT2TokenizerFast,200029,1,space_prefix (Ġ),False,1.29,2.42
tiiuae/Falcon3-7B-Instruct,PreTrainedTokenizerFast,131072,25,space_prefix (Ġ),False,1.3,5.31
dicta-il/dictalm2.0-instruct,LlamaTokenizerFast,33152,3,space_prefix (▁),True,1.49,2.84
